Judete,Sali de gimnastica
Alba,110
Arad,136
Arges,164
Bacau,119
Bihor,148
Bistrita-Nasaud,85
Botosani,55
Brasov,147
Braila,58
Buzau,86
Caras-Severin,54
Calarasi,54
Cluj,224
Constanta,132
Covasna,91
Dambovita,109
Dolj,195
Galati,120
Giurgiu,56
Gorj,80
Harghita,128
Hunedoara,107
Ialomita,37
Iasi,196
Ilfov,68
Maramures,97
Mehedinti,60
Mures,190
Neamt,124
Olt,69
Prahova,171
Satu Mare,89
Salaj,74
Sibiu,124
Suceava,131
Teleorman,75
Timis,185
Tulcea,37
Vaslui,39
Valcea,73
Vrancea,43
Municipiul Bucuresti,374
