Judete,Terenuri de sport
Alba,100
Arad,163
Arges,216
Bacau,182
Bihor,195
Bistrita-Nasaud,107
Botosani,110
Brasov,122
Braila,86
Buzau,99
Caras-Severin,72
Calarasi,88
Cluj,212
Constanta,231
Covasna,63
Dambovita,133
Dolj,209
Galati,152
Giurgiu,83
Gorj,123
Harghita,93
Hunedoara,128
Ialomita,73
Iasi,185
Ilfov,107
Maramures,123
Mehedinti,63
Mures,117
Neamt,153
Olt,119
Prahova,208
Satu Mare,100
Salaj,77
Sibiu,102
Suceava,188
Teleorman,93
Timis,182
Tulcea,63
Vaslui,72
Valcea,108
Vrancea,81
Municipiul Bucuresti,386
