Judete,Personal didactic,Populatia scolara,Unitati de invatamant
Alba,3876,54979,140
Arad,4901,69906,158
Arges,6664,98010,215
Bacau,6746,98081,185
Bihor,8167,107558,206
Bistrita-Nasaud,3492,48844,115
Botosani,4594,61954,131
Brasov,6859,111360,191
Braila,3020,42050,101
Buzau,4274,60878,148
Caras-Severin,3141,36933,120
Calarasi,2625,39140,97
Cluj,11940,176199,277
Constanta,8144,131957,227
Covasna,2811,32638,79
Dambovita,4892,72002,153
Dolj,7877,113540,216
Galati,6058,90450,188
Giurgiu,2404,34767,86
Gorj,3841,52046,116
Harghita,4373,51487,130
Hunedoara,3875,57164,111
Ialomita,2274,35523,92
Iasi,11738,185515,262
Ilfov,3385,57102,136
Maramures,5271,74998,183
Mehedinti,2703,37144,105
Mures,7539,96387,189
Neamt,4629,69322,143
Olt,4026,57369,162
Prahova,7053,108350,235
Satu Mare,3838,52599,130
Salaj,2643,35848,110
Sibiu,5536,80575,173
Suceava,8151,124289,223
Teleorman,3250,41459,139
Timis,9952,143568,240
Tulcea,2002,28290,80
Vaslui,4429,59217,149
Valcea,4097,49616,130
Vrancea,3521,49547,121
Municipiul Bucuresti,27243,467130,623
