Judete,Sali de clasa,Ateliere,Laboratoare,PC-uri,Sali de gimnastica,Terenuri de sport
Alba,2738,87,337,10690,110,100
Arad,3424,108,608,8984,136,163
Arges,4323,151,807,18943,164,216
Bacau,4652,104,591,13957,119,182
Bihor,5035,113,793,14075,148,195
Bistrita-Nasaud,2579,70,253,5493,85,107
Botosani,3144,83,278,15719,55,110
Brasov,3904,128,789,15479,147,122
Braila,2070,88,244,10911,58,86
Buzau,2779,48,364,9996,86,99
Caras-Severin,2276,90,280,6368,54,72
Calarasi,1766,52,193,9990,54,88
Cluj,6304,230,2323,55097,224,212
Constanta,4231,115,864,16693,132,231
Covasna,1880,97,174,3992,91,63
Dambovita,3219,79,413,15957,109,133
Dolj,4410,163,1132,14518,195,209
Galati,3141,95,871,16157,120,152
Giurgiu,1460,21,151,6901,56,83
Gorj,2444,92,401,9235,80,123
Harghita,3033,117,247,7521,128,93
Hunedoara,2872,117,445,10053,107,128
Ialomita,1632,56,205,5520,37,73
Iasi,6465,258,2144,23917,196,185
Ilfov,2018,17,200,20252,68,107
Maramures,3703,107,394,14416,97,123
Mehedinti,1823,49,221,8893,60,63
Mures,4709,103,577,25168,190,117
Neamt,3475,100,436,9804,124,153
Olt,2603,70,274,6224,69,119
Prahova,4229,156,738,13533,171,208
Satu Mare,2788,76,273,6938,89,100
Salaj,2094,69,299,9705,74,77
Sibiu,3547,148,658,13322,124,102
Suceava,5406,118,689,32490,131,188
Teleorman,1977,45,219,11206,75,93
Timis,5782,193,1593,23290,185,182
Tulcea,1277,37,246,5347,37,63
Vaslui,2964,77,284,13428,39,72
Valcea,2569,61,324,7372,73,108
Vrancea,2139,52,308,5877,43,81
Municipiul Bucuresti,12693,416,3945,126712,374,386
